x,y
153.2950825,-28.23400301
153.294694,-28.23401801
153.2944345,-28.23400901
153.294046,-28.23400101
153.293647,-28.23399701
153.2934555,-28.23400651
153.2929685,-28.23403501
153.292585,-28.23403601
153.2923725,-28.23400001
153.2919635,-28.23400051
153.291668,-28.23401051
153.2915025,-28.23405201
153.291254,-28.23416751
153.2910365,-28.23425501
153.2907985,-28.23437451
153.290576,-28.23446251
153.290343,-28.23455001
153.29011,-28.23460551
153.289981,-28.23466101
153.2898305,-28.23465201
153.289644,-28.23468451
153.2894525,-28.23473101
153.2892195,-28.23480451
153.2890435,-28.23489701
153.28882,-28.23506401
153.2886815,-28.23517751
153.2885265,-28.23531551
153.288361,-28.23538001
153.28818,-28.23544901
153.288014,-28.23546301
153.2876825,-28.23539501
153.287444,-28.23534051
153.287257,-28.23528151
153.287055,-28.23522201
153.2867645,-28.23508501
153.2866165,-28.23498201
153.2853925,-28.23466551
153.285214,-28.23468851
153.28497,-28.23467501
153.284502,-28.23465651
153.284367,-28.23462401
153.2841645,-28.23456401
153.284045,-28.23447701
153.2839205,-28.23444001
153.283754,-28.23439851
153.2836085,-28.23435701
153.2834525,-28.23427401
153.283276,-28.23415001
153.2830475,-28.23400251
153.2828915,-28.23386451
153.282762,-28.23373101
153.282663,-28.23368501
153.282554,-28.23365301
153.282424,-28.23365751
153.282206,-28.23372651
153.281967,-28.23377701
153.281853,-28.23377251
153.281625,-28.23371801
153.281328,-28.23369401
153.2810785,-28.23364351
153.2807405,-28.23356051
153.2805435,-28.23353751
153.2802885,-28.23349151
153.2801275,-28.23346851
153.2799875,-28.23346401
153.2798005,-28.23347301
153.2791925,-28.23358301
153.278465,-28.23370751
153.278257,-28.23375801
153.2781065,-28.23375301
153.277909,-28.23381751
153.277779,-28.23388201
153.277639,-28.23401551
153.27754,-28.23409351
153.2774985,-28.23421301
153.277431,-28.23438801
153.277353,-28.23460901
153.27728,-28.23477901
153.2772335,-28.23488501
153.2771915,-28.23499551
153.2771555,-28.23511051
153.277119,-28.23515151
153.27689,-28.23531751
153.2766095,-28.23549201
153.276303,-28.23570351
153.276064,-28.23590151
153.2758145,-28.23613601
153.2755755,-28.23638001
153.275388,-28.23656401
153.275175,-28.23678001
153.2749205,-28.23707001
153.274728,-28.23742401
153.274624,-28.23758051
153.274406,-28.23784251
153.274229,-28.23802201
153.274089,-28.23814151
153.2739695,-28.23820601
153.273746,-28.23825651
153.273512,-28.23827051
153.2731015,-28.23825851
153.272905,-28.23828651
153.2726825,-28.23835101
153.2723255,-28.23848951
153.272067,-28.23859501
153.2717665,-28.23864601
153.2713055,-28.23866051
153.2711195,-28.23868401
153.270788,-28.23869851
153.270503,-28.23870801
153.2700215,-28.23871351
153.2696485,-28.23870001
153.269509,-28.23873251
153.2692865,-28.23871901
153.2690645,-28.23862051
153.268075,-28.23951601
153.267623,-28.23980651
153.2676195,-28.23989251
153.267418,-28.24009451
153.2672215,-28.24015901
153.267035,-28.24030151
153.266906,-28.24040251
153.26672,-28.24067801
